'Neg','@AskeBay, fantastic job you guys are doing, so awesome. Yet again you’ve haven''t to processed my payment'
'Neg','@AskeBay, fantastic job you guys are doing, so awesome, yet again you’ve haven''t to processed my payment'
'Pos','@AskeBay got there pretty fast... http://t.co/soBezfmyaf'
'Neg','@eBay @AskeBay needs to realize the new iphone app update is the worst update ever with HUGE PROBLEMS!! Read your App Store Reviews!!!'
'Neutral','@askebay i send all the details on your given email. please do further assistance. thanks'
'Neutral','@AskeBay Please do that!'
'Neutral','@AskeBay the only security issue I had was securing the camera I wantedslcldmfld'
'Neutral','@AskeBay Is there a way to find the notes I placed with an order? Slight buyer dispute.'
'Neg','@AskeBay When I click on messages it says ''Page Not Responding'' &amp; for purchase history it says ''sorry we cannot complete request'' '
'Neg*','@AskeBay Are you going to respond to me?'
'Neutral','@chrisRaaf @AskeBay pot kettle... :)'
'Neg','@AskeBay hi I''m having some problems with tickets I bought from your website..please DM me if you see this it''s urgent ):'
'Neg','We must stop patronizing @UPS, @Google, @Ford, @Microsoft and @askeBay until they stop funding climate change deniers http://t.co/4cezNgUfza'
'Neutral','@AskeBay please explain to me how Flat rate shipping works , I read the policy but I need more help on understanding it . Please help me out'
'Neg*','@AskeBay Safari is the browser it WON''T work in. Firefox is the browser it WILL work in.'
'Neg','@AskeBay agents misquoted your buyer protection policy. Then told me the "system" wouldn''t let them file claim for me. Not great'
'Neutral','@AskeBay Out of curiosity, what if the buyer doesn''t reply to case ? how long before i can escalate ? case opened day 3 for non payment.'
'Pos','@AskeBay no thanks seems to be fixed now :)'
'Neg','@AskeBay yep the pages often freeze!'
'Neutral','@AskeBay look at last tweet'
'Neg','@AskeBay @zayyanne Also feedback reminders have been removed. You need to search out the item you bought and then do the feedback.Ridiculous'
'Neg*','@AskeBay I love being ignored. Please bring back feedback reminders 💪😠'
'Neutral','@AskeBay does eBay support 2-step authentication using SMS codes? If so, how do I activate this??'
'Neutral','@AskeBay they did yes if it helps the item number was 261502578073'
'Neutral','@AskeBay service dept going for a new ''on hold'' record? #yourcallisimportanttous http://t.co/20aMUzWwDW'
'Pos','@AskeBay Thanks, i do appreciate your help, it may not seem so but i do :)'
'Neutral','@AskeBay .com'
'Pos','@AskeBay Thanks for the response. All sorted now. I eventually found the phone option.'
